"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"BT1,BT2","1043","Battery:BatteryHolder_MPD_BH-18650-PC2","","2","","",""
"C1","1 nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","","",""
"C2,C4,C8,C9,C14","10 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","5","","",""
"C5,C7,C10,C11,C12,C13,C15,C20","100 nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","8","","",""
"C6","22 uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","1","","",""
"C16,C17","100 pF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","2","","",""
"C18,C19","12 pF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","2","","",""
"D1","RED","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~","1","","",""
"D2,D4,D5","GREEN","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~","3","","",""
"D3,D6","SS34","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf","2","","",""
"J1","OLED_LCD","MountingEquipment:TE_1734598-4","~","1","","",""
"J2","Flash","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","1","","",""
"JP1","Boot0","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels","~","1","","Excluded from BOM",""
"JP2","Boot1","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels","~","1","","Excluded from BOM",""
"L1","22uH/2A","Inductor_THT:L_Radial_D7.5mm_P3.50mm_Fastron_07P","~","1","","",""
"P1","USBC","Connector:usbc","","1","","",""
"Q1","FS8205A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","1","","",""
"R1","1 M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1","","",""
"R2","1.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1","","",""
"R3,R8,R16","10 k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","3","","",""
"R4,R5","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2","","",""
"R7,R9,R10","100 k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","3","","",""
"R11","5.1 k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1","","",""
"R12,R15","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2","","",""
"R13,R14","510","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2","","",""
"RV1","2.2 k","Potentiometer_SMD:Potentiometer_Bourns_3214X_Vertical","~","1","","",""
"SW1","Enable Switch","Button_Switch_THT:SW_PUSH_6mm","~","1","","",""
"SW2","Calibrate","Button_Switch_THT:SW_PUSH_6mm","~","1","","",""
"SW3","Reset","Button_Switch_THT:SW_PUSH_6mm","~","1","","",""
"U1","TP4056","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","1","","",""
"U2","DW01A","Package_TO_SOT_SMD:SOT-23-6","https://hmsemi.com/downfile/DW01A.PDF","1","","",""
"U3","MT3608","Package_TO_SOT_SMD:SOT-23-6","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf","1","","",""
"U4","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf","1","","",""
"U5","STM32F103C8T6","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf","1","","",""
"U6","DHT22","Sensor:ASAIR_AM2302_P2.54mm_Vertical","http://akizukidenshi.com/download/ds/aosong/AM2302.pdf","1","","",""
"U7","MH-Z19B","Sensor:MH-Z19B","","1","","",""
"Y1","8MHz","Crystal:Crystal_HC49-U_Vertical","~","1","","",""
"Y2","32768Hz","Crystal:Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm","~","1","","",""
